Iteration loop,Iteration,Local search,Fitness
150,5327,16,3068905
295,10498,29,3066123
329,11781,40,3065613
564,20183,63,3048551
401,14395,35,3059065
270,9664,25,3054963
440,15821,39,3063671
308,10951,33,3058747
524,18813,54,3059044
611,21910,53,3055338
