Iteration loop,Iteration,Local search,Fitness
312,20391,158,5387936
312,20676,164,5387918
281,18461,136,5398958
252,16708,127,5387902
292,19161,138,5387807
223,14890,121,5388543
188,12642,84,5387454
291,19665,151,5387368
316,20757,158,5387477
298,20404,160,5388524
