Iteration loop,Iteration,Local search,Fitness
332,23659,49,50134
358,25370,61,49318
266,18730,37,49862
356,25424,54,49644
479,34120,80,49298
368,26008,65,49842
335,23959,51,50190
468,33289,72,49560
578,41515,97,49618
204,14426,31,49800
