Iteration loop,Iteration,Local search,Fitness
339,22717,55,200
407,27963,60,216
312,20941,43,204
548,38462,85,204
264,17810,46,208
271,18256,40,204
178,12261,24,232
433,29910,64,200
662,46433,98,204
276,18643,52,212
