Iteration loop,Iteration,Local search,Fitness
272,43313,32,6568
397,64910,54,6706
309,48847,46,6632
538,89741,72,6632
246,39336,38,6712
317,51630,52,6758
269,42838,56,6818
388,63793,67,6588
575,95089,85,6600
575,96196,80,6466
