E1,E2,E3,E4,E5
0.18268329084833515,0.1896900136040046,0.18243234319073343,0.1897230330326364,0.16753397699206213
0.16477355275844308,0.0,0.1618942585817495,0.1695745776815078,0.0
0.15636680622878502,0.16699906224822686,0.18637486296937117,0.1601838521786219,0.13082297623921915
0.15636680622878502,0.16699906224822686,0.18637486296937117,0.1601838521786219,0.13082297623921915
0.15636680622878502,0.16699906224822686,0.18637486296937117,0.1601838521786219,0.13082297623921915
0.163419756184539,0.0,0.1605602736650245,0.0,0.1607121630367308
0.16373674269940433,0.0,0.15993290452102016,0.15039028964642795,0.16234332281114208
0.16373674269940433,0.0,0.15993290452102016,0.15039028964642795,0.16234332281114208
0.16373674269940433,0.0,0.15993290452102016,0.15039028964642795,0.16234332281114208
0.1606131047508354,0.0,0.15557433994162165,0.15776022611704726,0.0
