Iteration loop,Iteration,Local search,Fitness
457,29691,61,5388236
380,24828,65,5397122
407,27095,61,5388290
293,19418,41,5388466
432,28011,56,5387594
463,31097,92,5388498
508,34086,81,5388258
451,32165,76,5399233
467,30287,72,5386879
398,25878,59,5387166
