Iteration loop,Iteration,Local search,Fitness
369,23148,57,6558
648,42951,83,6434
261,16690,48,7050
584,39463,96,6660
704,47515,100,6802
777,51300,129,6746
576,38162,79,6542
517,33015,77,6678
283,18059,40,6650
737,50259,106,6726
