Iteration loop,Iteration,Local search,Fitness
481,34331,71,154896
294,19760,38,155944
817,57021,130,151102
511,34754,75,153052
539,37172,77,152042
438,29927,74,154162
340,22810,52,153872
396,26338,56,151854
417,28203,54,154624
235,15928,42,155502
