Iteration loop,Iteration,Local search,Fitness
357,24454,48,152
331,22142,44,156
305,20537,51,154
486,34046,76,150
899,63483,134,136
441,30674,76,148
463,31983,75,148
220,14974,32,150
300,20651,59,162
406,28321,70,158
