Iteration loop,Iteration,Local search,Fitness
687,48947,118,23978
676,48488,98,24260
688,49121,92,24086
371,26487,64,23918
436,30846,60,23994
564,40290,64,24030
418,29721,63,23834
209,14785,28,24634
415,29672,58,24184
361,25261,51,23898
