Iteration loop,Iteration,Local search,Fitness
159,11015,18,2
151,10422,20,2
167,11480,19,2
159,10993,28,2
153,10591,23,2
159,10947,25,2
154,10670,25,2
163,11239,24,2
159,10996,28,2
153,10606,31,2
