Iteration loop,Iteration,Local search,Fitness
373,26136,54,210
236,16148,38,204
414,29580,66,210
225,15451,45,200
268,18195,38,204
248,17220,36,204
271,19140,37,218
213,14654,29,208
309,21721,45,214
220,15362,23,214
