Iteration loop,Iteration,Local search,Fitness
871,61603,130,8570374
822,57319,112,8605194
278,19004,50,8360290
756,50754,121,8637654
787,54452,121,8858654
655,46278,116,8754348
883,61941,135,8653216
382,25861,64,8964478
1348,94609,216,8446302
664,46173,88,8601870
