Iteration loop,Iteration,Local search,Fitness
216,14357,27,6894
236,15547,36,6874
358,22911,52,6762
348,22299,54,6706
233,16085,44,6968
582,39991,82,6786
449,31801,66,6972
327,21860,50,6902
426,28565,64,6556
371,24926,58,6828
