Iteration loop,Iteration,Local search,Fitness
598,43014,81,108424
367,26332,62,108426
279,19970,41,108504
618,44377,96,108271
450,32228,74,108525
410,29427,61,108480
579,41680,75,108486
291,20806,36,108538
310,22017,41,108423
533,38133,66,108369
