Iteration loop,Iteration,Local search,Fitness
215,14791,40,642
233,15988,41,642
391,27919,61,642
299,20994,60,642
170,11821,29,642
247,17187,37,642
184,12747,26,646
193,13352,28,642
209,14370,31,642
194,13353,25,642
