Iteration loop,Iteration,Local search,Fitness
407,28351,71,18584
706,49602,104,18078
758,52716,130,16812
420,28503,60,17170
899,62766,143,17600
510,34383,69,17894
236,16243,34,18592
695,48179,111,18134
547,37681,80,18392
610,42494,87,17862
