Iteration loop,Iteration,Local search,Fitness
336,22102,45,7099931
385,25663,60,7100009
427,27747,62,7100002
371,24898,39,7098905
475,32703,79,7100956
266,17701,48,7101995
335,22035,54,7099216
344,22583,66,7099677
335,22669,56,7099662
346,22614,51,7100021
